Loading cs402-mpi
  Loading requirement: gcc9
28 t:0.29944, del_t:0.0103239, SOR iters:100, res:6.901976e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
28 t:0.29944, del_t:0.0103239, SOR iters:100, res:6.901976e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
28 t:0.29944, del_t:0.0103239, SOR iters:100, res:6.901976e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
28 t:0.29944, del_t:0.0103239, SOR iters:100, res:6.901976e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
29 t:0.309764, del_t:0.0103237, SOR iters:100, res:7.243539e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
29 t:0.309764, del_t:0.0103237, SOR iters:100, res:7.243539e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
29 t:0.309764, del_t:0.0103237, SOR iters:100, res:7.243539e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
29 t:0.309764, del_t:0.0103237, SOR iters:100, res:7.243539e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
30 t:0.320087, del_t:0.0103236, SOR iters:100, res:7.533973e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
30 t:0.320087, del_t:0.0103236, SOR iters:100, res:7.533973e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
30 t:0.320087, del_t:0.0103236, SOR iters:100, res:7.533973e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
30 t:0.320087, del_t:0.0103236, SOR iters:100, res:7.533973e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
31 t:0.330411, del_t:0.0103235, SOR iters:100, res:7.769490e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
31 t:0.330411, del_t:0.0103235, SOR iters:100, res:7.769490e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
31 t:0.330411, del_t:0.0103235, SOR iters:100, res:7.769490e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
31 t:0.330411, del_t:0.0103235, SOR iters:100, res:7.769490e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 3
32 t:0.340734, del_t:0.0103234, SOR iters:100, res:7.951186e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 2
32 t:0.340734, del_t:0.0103234, SOR iters:100, res:7.951186e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 0
32 t:0.340734, del_t:0.0103234, SOR iters:100, res:7.951186e-02, bcells:0  imax 660 jmax 120 itermax 100 rank 1
